subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
1918,17074,6252685546.875000,-1.644656811409e+02,-2.741094685682e+02,-1.278214949834e+02,-3.019351411307e+02,-1.644756854155e+02,-2.781169940773e+02,1.000000000000e+00,3.007277491986
1919,17075,6253051757.812500,3.837532559955e+02,2.741094685682e+02,3.500650156433e+02,3.338640257154e+02,3.974790233839e+02,2.595402257791e+02,1.000000000000e+00,2.981982055180
1920,17076,6253417968.750000,2.741094685682e+02,5.482189371364e+01,2.701843374993e+02,9.579743971808e+01,2.828140480237e+02,4.233457879983e+01,1.000000000000e+00,2.956696261268
1921,17077,6253784179.687500,-1.644656811409e+02,3.837532559955e+02,-2.237706532885e+02,3.648938327076e+02,-1.496740042389e+02,3.814415867415e+02,1.000000000000e+00,2.931420200264
1922,17078,6254150390.625000,-1.644656811409e+02,2.741094685682e+02,-2.079545780461e+02,2.533359429392e+02,-1.518968477901e+02,2.716678816494e+02,1.000000000000e+00,2.906153960608
1923,17079,6254516601.562500,1.644656811409e+02,1.644656811409e+02,1.419323052588e+02,1.918181801916e+02,1.757653190152e+02,1.552176234000e+02,1.000000000000e+00,2.880897629162
1924,17080,6254882812.500000,-3.837532559955e+02,5.482189371364e+01,-3.979208870562e+02,-3.156422356703e+00,-3.763036780830e+02,5.670842733670e+01,1.000000000000e+00,2.855651291204
1925,17081,6255249023.437500,5.482189371364e+01,3.837532559955e+02,-3.628955210140e+00,3.979764136094e+02,7.076922254905e+01,3.779518565299e+02,1.000000000000e+00,2.830415030421
1926,17082,6255615234.375000,1.644656811409e+02,5.482189371364e+01,1.583696867915e+02,8.120986366023e+01,1.741843582898e+02,4.568690663088e+01,1.000000000000e+00,2.805188928910
1927,17083,6255981445.312500,-5.482189371364e+01,2.741094685682e+02,-9.854150376630e+01,2.695136051520e+02,-4.102105363653e+01,2.704872823264e+02,1.000000000000e+00,2.779973067169
1928,17084,6256347656.250000,-3.837532559955e+02,-1.644656811409e+02,-3.633524478494e+02,-2.262971959790e+02,-3.800785349012e+02,-1.613551326487e+02,1.000000000000e+00,2.754767524096
1929,17085,6256713867.187500,-5.482189371364e+01,-3.837532559955e+02,3.617081788114e+00,-3.968988722563e+02,-5.627593797927e+01,-3.880058762536e+02,1.000000000000e+00,2.729572376988
1930,17086,6257080078.125000,2.741094685682e+02,1.644656811409e+02,2.519648584741e+02,2.084202764056e+02,2.872431834877e+02,1.516578820985e+02,1.000000000000e+00,2.704387701531
1931,17087,6257446289.062500,3.837532559955e+02,-2.741094685682e+02,4.309118305718e+02,-2.173248652234e+02,3.854613992288e+02,-2.893074705474e+02,1.000000000000e+00,2.679213571807
1932,17088,6257812500.000000,3.837532559955e+02,2.741094685682e+02,3.446461399401e+02,3.381263846184e+02,3.998963914485e+02,2.597641827140e+02,1.000000000000e+00,2.654050060286
1933,17089,6258178710.937500,3.837532559955e+02,-1.644656811409e+02,4.147228618814e+02,-1.045868887047e+02,3.894423860161e+02,-1.786266253264e+02,1.000000000000e+00,2.628897237825
1934,17090,6258544921.875000,-2.741094685682e+02,-1.644656811409e+02,-2.506015756656e+02,-2.112161887744e+02,-2.692008429082e+02,-1.629094830956e+02,1.000000000000e+00,2.603755173670
1935,17091,6258911132.812500,-5.482189371364e+01,5.482189371364e+01,-6.458720792340e+01,4.644696687197e+01,-4.426783945085e+01,5.191340608563e+01,1.000000000000e+00,2.578623935451
