tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
38,4233947753.906250,4.419002711968e-02,4.360364534390e-02,4.439897226823e-02,4.440019353701e-02,-0.116029390,0.040972985,0.041211902,-17.401908814862,-10.028416860103,-4.462223760561,-4.462223760561,1.090306647579,-13.283362821997,-13.283362821997,-5.909870867238,-5.909870867238
39,4251892089.843750,4.419002711968e-02,4.372565777735e-02,4.441106128634e-02,4.441143785363e-02,-0.091758334,0.043337670,0.043411318,-19.076508126646,-11.610893154634,-6.340662473355,-6.340662473355,1.182429664832,-13.579325240260,-13.579325240260,-6.113710268248,-6.113710268248
40,4269836425.781250,4.419002711967e-02,4.382022605386e-02,4.433036544452e-02,4.433028219157e-02,-0.072993090,0.027540868,0.027524556,-16.380757010675,-8.794091420504,-3.819823157487,-3.819823157487,1.303480282991,-13.875287658522,-13.875287658522,-6.288622068352,-6.288622068352
41,4287780761.718750,4.419002711968e-02,4.392416404827e-02,4.420188409241e-02,4.420176874224e-02,-0.052415264,0.002330267,0.002307600,-14.311642373509,-6.584485830954,-1.906179986200,-1.906179986200,1.443971235375,-14.171250076785,-14.171250076785,-6.444093534230,-6.444093534230
42,4305908203.125000,4.419002711967e-02,4.416042070377e-02,4.416419197473e-02,4.416448950623e-02,-0.005821319,-0.005079581,-0.005021065,-13.181913104846,-5.295931207948,-0.916607806133,-0.916607806133,1.602796589718,-14.470232519724,-14.470232519724,-6.584250622826,-6.584250622826
43,4323852539.062500,4.419002711967e-02,4.452433871270e-02,4.424502020124e-02,4.424614910714e-02,0.065464197,0.010802593,0.011024209,-10.828583889888,-2.793342793842,1.290018189711,1.290018189711,1.752055788866,-14.766194937986,-14.766194937986,-6.730953841940,-6.730953841940
44,4341796875.000000,4.419002711968e-02,4.480005248486e-02,4.426329034773e-02,4.426561202508e-02,0.119085094,0.014388527,0.014844103,-12.779847952200,-4.609113985048,-0.821715419759,-0.821715419759,1.887548659972,-15.062157356249,-15.062157356249,-6.891423389098,-6.891423389098
45,4359924316.406250,4.419002711967e-02,4.500528284318e-02,4.427677876583e-02,4.428057254845e-02,0.158784547,0.017034987,0.017779192,-12.063906345210,-3.790126943491,-0.301710821140,-0.301710821140,1.990594094540,-15.361139799188,-15.361139799188,-7.087360397469,-7.087360397469
46,4377868652.343750,4.419002711967e-02,4.495415401683e-02,4.414392064357e-02,4.414928202429e-02,0.148911222,-0.009067314,-0.008012456,-12.059747629924,-3.719826410740,-0.527372706651,-0.527372706651,2.056735912005,-15.657102217451,-15.657102217451,-7.317180998266,-7.317180998266
47,4395812988.281250,4.419002711967e-02,4.480246127641e-02,4.403800523058e-02,4.404489250700e-02,0.119552101,-0.029932588,-0.028574274,-13.624886444612,-5.264421857651,-2.367930571826,-2.367930571826,2.077279279781,-15.953064635713,-15.953064635713,-7.592600048752,-7.592600048752
48,4413757324.218750,4.419002711967e-02,4.464730388445e-02,4.405268914974e-02,4.406090976375e-02,0.089419404,-0.027036870,-0.025416159,-13.898731470019,-5.542159963948,-2.941631096385,-2.941631096385,2.073386198891,-16.249027053976,-16.249027053976,-7.892455547905,-7.892455547905
49,4431884765.625000,4.419002711968e-02,4.445865615717e-02,4.412904869252e-02,4.413825451376e-02,0.052641263,-0.011994056,-0.010182270,-13.617565399428,-5.291492410660,-2.989945986036,-2.989945986036,2.042887681589,-16.548009496915,-16.548009496915,-8.221936508147,-8.221936508147
50,4449829101.562500,4.419002711967e-02,4.436030297131e-02,4.431596770145e-02,4.432567071518e-02,0.033404711,0.024719382,0.026620955,-10.580133866883,-2.275519402471,-0.269935396110,-0.269935396110,2.021429157232,-16.843971915178,-16.843971915178,-8.539357450766,-8.539357450766
