freq_hz,digital_w_rad_per_sample,original_phase_rad,allpass_phase_rad,compensated_phase_rad,original_group_delay_ns,allpass_group_delay_ns,compensated_group_delay_ns,target_delay_ns
5539000000.000000,1.450106809019,-75.740776833108,-4.327634954432,-80.068411787540,2.389305576,10.645501608,13.034807184,13.883519069
5540000000.000000,1.450368608407,-75.756133172733,-4.394466257796,-80.150599430529,2.842389132,10.627171637,13.469560769,13.883519069
5541000000.000000,1.450630407795,-75.776495348369,-4.461179931804,-80.237675280173,2.758528068,10.608080212,13.366608280,13.883519069
5542000000.000000,1.450892207183,-75.790797858782,-4.527771325241,-80.318569184023,2.525279153,10.588269924,13.113549077,13.883519069
5543000000.000000,1.451154006571,-75.808228942112,-4.594236055840,-80.402464997952,2.980611643,10.567783721,13.548395364,13.883519069
5544000000.000000,1.451415805958,-75.828253329341,-4.660570012056,-80.488823341397,2.727318280,10.546664764,13.273983044,13.883519069
5545000000.000000,1.451677605346,-75.842501434402,-4.726769354013,-80.569270788415,3.047061797,10.524956300,13.572018097,13.883519069
5546000000.000000,1.451939404734,-75.866543837164,-4.792830513618,-80.659374350782,3.006027783,10.502701532,13.508729315,13.883519069
5547000000.000000,1.452201204122,-75.880276293594,-4.858750193916,-80.739026487510,2.792276309,10.479943503,13.272219812,13.883519069
5548000000.000000,1.452463003510,-75.901632616126,-4.924525367700,-80.826157983826,2.971947282,10.456724980,13.428672262,13.883519069
5549000000.000000,1.452724802897,-75.917622884580,-4.990153275431,-80.907776160011,2.848706998,10.433088345,13.281795343,13.883519069
5550000000.000000,1.452986602285,-75.937430524029,-5.055631422501,-80.993061946530,2.792626525,10.409075499,13.201702024,13.883519069
5551000000.000000,1.453248401673,-75.952716064478,-5.120957575900,-81.073673640378,3.023600187,10.384727764,13.408327951,13.883519069
5552000000.000000,1.453510201061,-75.975426204572,-5.186129760317,-81.161555964889,2.976406573,10.360085805,13.336492378,13.883519069
5553000000.000000,1.453772000449,-75.990118692579,-5.251146253727,-81.241264946306,2.602567247,10.335189546,12.937756793,13.883519069
5554000000.000000,1.454033799836,-76.008131029147,-5.316005582520,-81.324136611667,3.346035091,10.310078101,13.656113192,13.883519069
5555000000.000000,1.454295599224,-76.032166209624,-5.380706516204,-81.412872725828,3.541039204,10.284789712,13.825828916,13.883519069
5556000000.000000,1.454557398612,-76.052629040150,-5.445248061737,-81.497877101887,2.838062963,10.259361695,13.097424658,13.883519069
5557000000.000000,1.454819198000,-76.067830360641,-5.509629457532,-81.577459818173,2.762427054,10.233830386,12.996257440,13.883519069
5558000000.000000,1.455080997388,-76.087342722301,-5.573850167175,-81.661192889476,3.327131911,10.208231104,13.535363015,13.883519069
5559000000.000000,1.455342796775,-76.109640333314,-5.637909872906,-81.747550206220,3.096452229,10.182598114,13.279050343,13.883519069
5560000000.000000,1.455604596163,-76.126253888595,-5.701808468896,-81.828062357491,3.492318191,10.156964598,13.649282789,13.883519069
5561000000.000000,1.455866395551,-76.153526098008,-5.765546054365,-81.919072152373,3.541284675,10.131362633,13.672647308,13.883519069
5562000000.000000,1.456128194939,-76.170754984268,-5.829122926573,-81.999877910841,2.799043950,10.105823174,12.904867124,13.883519069
5563000000.000000,1.456389994327,-76.188699921650,-5.892539573728,-82.081239495378,3.864773596,10.080376041,13.945149637,13.883519069
5564000000.000000,1.456651793714,-76.219321161610,-5.955796667833,-82.175117829443,3.471820704,10.055049916,13.526870620,13.883519069
5565000000.000000,1.456913593102,-76.232328107326,-6.018895057513,-82.251223164839,2.385057576,10.029872338,12.414929914,13.883519069
5566000000.000000,1.457175392490,-76.249292679047,-6.081835760845,-82.331128439892,3.880967389,10.004869709,13.885837098,13.883519069
5567000000.000000,1.457437191878,-76.281097781883,-6.144619958220,-82.425717740103,3.869698606,9.980067297,13.849765903,13.883519069
5568000000.000000,1.457698991266,-76.297920745899,-6.207248985261,-82.505169731160,3.206413736,9.955489253,13.161902989,13.883519069
5569000000.000000,1.457960790653,-76.321390765230,-6.269724325816,-82.591115091046,3.504925689,9.931158616,13.436084305,13.883519069
5570000000.000000,1.458222590041,-76.341964941086,-6.332047605058,-82.674012546144,3.417625224,9.907097339,13.324722563,13.883519069
5571000000.000000,1.458484389429,-76.364337910413,-6.394220582693,-82.758558493106,3.882759494,9.883326305,13.766085799,13.883519069
5572000000.000000,1.458746188817,-76.390757135892,-6.456245146305,-82.847002282197,4.159468146,9.859865347,14.019333493,13.883519069
5573000000.000000,1.459007988205,-76.416607328697,-6.518123304849,-82.934730633546,3.863887650,9.836733277,13.700620927,13.883519069
5574000000.000000,1.459269787592,-76.439312180120,-6.579857182301,-83.019169362421,3.801046102,9.813947910,13.614994012,13.883519069
5575000000.000000,1.459531586980,-76.464372682739,-6.641449011482,-83.105821694221,3.778962540,9.791526092,13.570488632,13.883519069
5576000000.000000,1.459793386368,-76.486800023931,-6.702901128058,-83.189701151989,3.392974091,9.769483729,13.162457820,13.883519069
5577000000.000000,1.460055185756,-76.507010052655,-6.764215964729,-83.271226017384,3.748978586,9.747835816,13.496814402,13.883519069
5578000000.000000,1.460316985144,-76.533911078272,-6.825396045611,-83.359307123883,4.301297872,9.726596472,14.027894344,13.883519069
5579000000.000000,1.460578784531,-76.561061755842,-6.886443980818,-83.447505736660,4.039419252,9.705778969,13.745198221,13.883519069
5580000000.000000,1.460840583919,-76.584671917656,-6.947362461236,-83.532034378892,3.550961677,9.685395762,13.236357439,13.883519069
5581000000.000000,1.461102383307,-76.605684456307,-7.008154253514,-83.613838709821,3.757312068,9.665458528,13.422770596,13.883519069
5582000000.000000,1.461364182695,-76.631887693619,-7.068822195251,-83.700709888870,4.337809666,9.645978190,13.983787856,13.883519069
5583000000.000000,1.461625982083,-76.660194980223,-7.129369190389,-83.789564170612,4.269785199,9.626964959,13.896750158,13.883519069
5584000000.000000,1.461887781470,-76.685543396873,-7.189798204813,-83.875341601686,3.907403358,9.608428357,13.515831715,13.883519069
5585000000.000000,1.462149580858,-76.709296858963,-7.250112262150,-83.959409121113,4.116696715,9.590377258,13.707073973,13.883519069
5586000000.000000,1.462411380246,-76.737275333505,-7.310314439774,-84.047589773279,4.494810341,9.572819913,14.067630254,13.883519069
5587000000.000000,1.462673179634,-76.765780311544,-7.370407865005,-84.136188176549,4.408967902,9.555763984,13.964731886,13.883519069
