subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_l1_08_equalized_i,after_l1_08_equalized_q,after_l1_08_plus_l1_09_equalized_i,after_l1_08_plus_l1_09_equalized_q,allpass_abs,allpass_phase_rad
1374,16530,6053466796.875000,-2.240570308183e+02,-4.481140616365e+01,-2.289535203743e+02,-5.098543381135e+01,-2.200686462007e+02,-4.533787858902e+01,1.000000000000e+00,0.412782024325
1375,16531,6053833007.812500,-4.481140616365e+01,4.481140616365e+01,-4.695939402185e+01,4.511622687275e+01,-3.562303411450e+01,3.826627599357e+01,1.000000000000e+00,0.390298033533
1376,16532,6054199218.750000,-3.136798431456e+02,2.240570308183e+02,-3.263269831841e+02,2.246651657786e+02,-2.994834774167e+02,2.306246618755e+02,1.000000000000e+00,0.367804249039
1377,16533,6054565429.687500,-4.481140616365e+01,4.481140616365e+01,-4.666221826448e+01,4.539600189951e+01,-3.511902711206e+01,3.868936226530e+01,1.000000000000e+00,0.345300488048
1378,16534,6054931640.625000,2.240570308183e+02,4.481140616365e+01,2.295745685751e+02,4.835556703184e+01,2.363512896623e+02,2.639825877306e+01,1.000000000000e+00,0.322786568091
1379,16535,6055297851.562500,4.481140616365e+01,2.240570308183e+02,4.405952896164e+01,2.302947557867e+02,6.419552864742e+01,2.154823816567e+02,1.000000000000e+00,0.300262307034
1380,16536,6055664062.500000,2.240570308183e+02,-2.240570308183e+02,2.313582348568e+02,-2.281800935116e+02,2.235530946829e+02,-2.445053431716e+02,1.000000000000e+00,0.277727523093
1381,16537,6056030273.437500,-1.344342184910e+02,3.136798431456e+02,-1.395601413254e+02,3.207444494636e+02,-1.115379144692e+02,3.143111850547e+02,1.000000000000e+00,0.255182034846
1382,16538,6056396484.375000,1.344342184910e+02,-2.240570308183e+02,1.388907660682e+02,-2.290911049218e+02,1.334330713987e+02,-2.399395973148e+02,1.000000000000e+00,0.232625661240
1383,16539,6056762695.312500,2.240570308183e+02,3.136798431456e+02,2.286194741034e+02,3.225702300923e+02,2.497755493849e+02,2.975597219464e+02,1.000000000000e+00,0.210058221610
1384,16540,6057128906.250000,2.240570308183e+02,-4.481140616365e+01,2.300174443778e+02,-4.539582962320e+01,2.327419435557e+02,-6.351808196371e+01,1.000000000000e+00,0.187479535690
1385,16541,6057495117.187500,2.240570308183e+02,1.344342184910e+02,2.298946605826e+02,1.382484159363e+02,2.417379731035e+02,1.172153324758e+02,1.000000000000e+00,0.164889423623
1386,16542,6057861328.125000,-1.344342184910e+02,-4.481140616365e+01,-1.381231508235e+02,-4.595676438743e+01,-1.285193473944e+02,-4.576730323526e+01,1.000000000000e+00,0.142287705979
1387,16543,6058227539.062500,-3.136798431456e+02,-2.240570308183e+02,-3.227993799901e+02,-2.293249024086e+02,-3.183537787392e+02,-2.171959374802e+02,1.000000000000e+00,0.119674203766
1388,16544,6058593750.000000,-4.481140616365e+01,-1.344342184910e+02,-4.667998790988e+01,-1.378055775167e+02,-4.260896124733e+01,-1.401309346984e+02,1.000000000000e+00,0.097048738445
1389,16545,6058959960.937500,-1.344342184910e+02,2.240570308183e+02,-1.363227266504e+02,2.309322109093e+02,-1.138009443630e+02,2.262479525265e+02,1.000000000000e+00,0.074411131946
1390,16546,6059326171.875000,-2.240570308183e+02,2.240570308183e+02,-2.275758245056e+02,2.322534407278e+02,-2.034778472353e+02,2.316374046796e+02,1.000000000000e+00,0.051761206682
1391,16547,6059692382.812500,-4.481140616365e+01,4.481140616365e+01,-4.536742589571e+01,4.658881031871e+01,-3.262839423781e+01,4.131212616877e+01,1.000000000000e+00,0.029098785562
1392,16548,6060058593.750000,-4.481140616365e+01,4.481140616365e+01,-4.523709658597e+01,4.671102785860e+01,-3.242883112154e+01,4.155704128349e+01,1.000000000000e+00,0.006423692011
1393,16549,6060424804.687500,4.481140616365e+01,-2.240570308183e+02,4.209653761061e+01,-2.306564485759e+02,4.186153024253e+01,-2.344623614624e+02,1.000000000000e+00,-0.016264250018
1394,16550,6060791015.625000,-4.481140616365e+01,-4.481140616365e+01,-4.679297883784e+01,-4.516324687496e+01,-3.759249428751e+01,-4.837803329494e+01,1.000000000000e+00,-0.038965216022
1395,16551,6061157226.562500,3.136798431456e+02,-3.136798431456e+02,3.160422802384e+02,-3.276902990290e+02,3.077037571107e+02,-3.404000867767e+02,1.000000000000e+00,-0.061679380938
1396,16552,6061523437.500000,2.240570308183e+02,-2.240570308183e+02,2.258231110204e+02,-2.340244365303e+02,2.231033923412e+02,-2.444042816563e+02,1.000000000000e+00,-0.084406919123
1397,16553,6061889648.437500,-3.136798431456e+02,-2.240570308183e+02,-3.259615231353e+02,-2.242851784329e+02,-3.184298222610e+02,-2.132063893924e+02,1.000000000000e+00,-0.107148004333
1398,16554,6062255859.375000,1.344342184910e+02,-1.344342184910e+02,1.352524751902e+02,-1.406663806606e+02,1.381863033619e+02,-1.485561289798e+02,1.000000000000e+00,-0.129902809710
1399,16555,6062622070.312500,1.344342184910e+02,4.481140616365e+01,1.389862740011e+02,4.285528534445e+01,1.488519294549e+02,3.192243800877e+01,1.000000000000e+00,-0.152671507760
1400,16556,6062988281.250000,-4.481140616365e+01,1.344342184910e+02,-4.243068521835e+01,1.391094898408e+02,-2.587343549649e+01,1.333879854002e+02,1.000000000000e+00,-0.175454270337
1401,16557,6063354492.187500,-3.136798431456e+02,-3.136798431456e+02,-3.304166143086e+02,-3.133429116916e+02,-3.250241461096e+02,-3.008293655530e+02,1.000000000000e+00,-0.198251268622
1402,16558,6063720703.125000,1.344342184910e+02,-2.240570308183e+02,1.317003505357e+02,-2.337125858682e+02,1.321852624961e+02,-2.387667338971e+02,1.000000000000e+00,-0.221062673102
1403,16559,6064086914.062500,-2.240570308183e+02,4.481140616365e+01,-2.287089490032e+02,5.239010474768e+01,-2.119840472594e+02,5.501536473610e+01,1.000000000000e+00,-0.243888653553
1404,16560,6064453125.000000,-2.240570308183e+02,-1.344342184910e+02,-2.338394451430e+02,-1.316601411548e+02,-2.231765593985e+02,-1.256607180245e+02,1.000000000000e+00,-0.266729379019
1405,16561,6064819335.937500,1.344342184910e+02,-3.136798431456e+02,1.291930245640e+02,-3.258817057339e+02,1.273714654290e+02,-3.284570646996e+02,1.000000000000e+00,-0.289585017788
1406,16562,6065185546.875000,4.481140616365e+01,-4.481140616365e+01,4.466994723570e+01,-4.732327081349e+01,5.355769605622e+01,-5.168740162892e+01,1.000000000000e+00,-0.312455737372
1407,16563,6065551757.812500,-3.136798431456e+02,1.344342184910e+02,-3.173218842606e+02,1.480757527467e+02,-2.959605007965e+02,1.520291727090e+02,1.000000000000e+00,-0.335341704490
1408,16564,6065917968.750000,-2.240570308183e+02,3.136798431456e+02,-2.184566807608e+02,3.293586196171e+02,-1.932103187567e+02,3.271413892345e+02,1.000000000000e+00,-0.358243085036
1409,16565,6066284179.687500,1.344342184910e+02,1.344342184910e+02,1.429473995344e+02,1.327018951630e+02,1.558775455895e+02,1.229246413981e+02,1.000000000000e+00,-0.381160044065
1410,16566,6066650390.625000,-3.136798431456e+02,1.344342184910e+02,-3.164326161213e+02,1.507155944313e+02,-2.951444125012e+02,1.546149075053e+02,1.000000000000e+00,-0.404092745766
1411,16567,6067016601.562500,-1.344342184910e+02,4.481140616365e+01,-1.361499742501e+02,5.182301207941e+01,-1.208830407542e+02,5.215220161802e+01,1.000000000000e+00,-0.427041353439
1412,16568,6067382812.500000,2.240570308183e+02,2.240570308183e+02,2.396684672704e+02,2.205094034176e+02,2.533762439642e+02,2.072915805817e+02,1.000000000000e+00,-0.450006029470
1413,16569,6067749023.437500,-1.344342184910e+02,-4.481140616365e+01,-1.399247235173e+02,-4.030853109323e+01,-1.271784888738e+02,-3.805805569379e+01,1.000000000000e+00,-0.472986935308
1414,16570,6068115234.375000,2.240570308183e+02,-2.240570308183e+02,2.203342293150e+02,-2.395652511380e+02,2.214850193854e+02,-2.437632322419e+02,1.000000000000e+00,-0.495984231437
1415,16571,6068481445.312500,-3.136798431456e+02,-2.240570308183e+02,-3.318236150910e+02,-2.155409381522e+02,-3.204776063575e+02,-2.048493963723e+02,1.000000000000e+00,-0.518998077356
1416,16572,6068847656.250000,-4.481140616365e+01,4.481140616365e+01,-4.377464513930e+01,4.805413011500e+01,-3.017232000176e+01,4.661649367007e+01,1.000000000000e+00,-0.542028631548
1417,16573,6069213867.187500,4.481140616365e+01,-3.136798431456e+02,3.071414640798e+01,-3.235957028266e+02,3.331067635130e+01,-3.204945571760e+02,1.000000000000e+00,-0.565076051453
1418,16574,6069580078.125000,2.240570308183e+02,4.481140616365e+01,2.319022228021e+02,3.520036575546e+01,2.404825519386e+02,2.724031320665e+01,1.000000000000e+00,-0.588140493446
1419,16575,6069946289.062500,3.136798431456e+02,1.344342184910e+02,3.282664782547e+02,1.230531067052e+02,3.374337349305e+02,1.114639567387e+02,1.000000000000e+00,-0.611222112806
1420,16576,6070312500.000000,-1.344342184910e+02,1.344342184910e+02,-1.312557470202e+02,1.445315883856e+02,-1.138056560538e+02,1.443513196947e+02,1.000000000000e+00,-0.634321063689
1421,16577,6070678710.937500,-4.481140616365e+01,-3.136798431456e+02,-6.214485474745e+01,-3.192427591159e+02,-5.727679419318e+01,-3.131118802094e+02,1.000000000000e+00,-0.657437499097
