section,fs_hz,r,theta_rad,center_freq_hz,b0,b1,b2,a0,a1,a2
45,24000000000.000000,0.302331981994,1.562372852215,5967824697.181182,0.091404627336,-0.005093311297,1.000000000000,1.000000000000,-0.005093311297,0.091404627336
46,24000000000.000000,0.302164637452,1.563844519823,5973446053.369496,0.091303468126,-0.004201146628,1.000000000000,1.000000000000,-0.004201146628,0.091303468126
47,24000000000.000000,0.301967911011,1.565319336071,5979079436.470681,0.091184619281,-0.003307734358,1.000000000000,1.000000000000,-0.003307734358,0.091184619281
48,24000000000.000000,0.301869596875,1.566804066970,5984750690.756115,0.091125253518,-0.002410277325,1.000000000000,1.000000000000,-0.002410277325,0.091125253518
49,24000000000.000000,0.301894181394,1.568271140530,5990354498.969635,0.091140096760,-0.001524676460,1.000000000000,1.000000000000,-0.001524676460,0.091140096760
50,24000000000.000000,0.301778737150,1.569732006087,5995934594.359577,0.091070406196,-0.000642378597,1.000000000000,1.000000000000,-0.000642378597,0.091070406196
51,24000000000.000000,0.977415630364,1.571192377584,6001512802.578959,0.955341314479,0.000774212443,1.000000000000,1.000000000000,0.000774212443,0.955341314479
52,24000000000.000000,0.973758586940,1.629755052986,6225205745.081249,0.948205785638,0.114756619986,1.000000000000,1.000000000000,0.114756619986,0.948205785638
53,24000000000.000000,0.313659221990,1.633168834337,6238245429.321362,0.098382107539,0.039102059549,1.000000000000,1.000000000000,0.039102059549,0.098382107539
54,24000000000.000000,0.315076785263,1.636694642985,6251713026.315129,0.099273380611,0.041496010669,1.000000000000,1.000000000000,0.041496010669,0.099273380611
55,24000000000.000000,0.316462163763,1.640585947080,6266576713.075603,0.100148301094,0.044135700293,1.000000000000,1.000000000000,0.044135700293,0.100148301094
56,24000000000.000000,0.316686795089,1.644766126915,6282543823.888593,0.100290526184,0.046807805541,1.000000000000,1.000000000000,0.046807805541,0.100290526184
57,24000000000.000000,0.317267025141,1.649262098118,6299717168.871305,0.100658365242,0.049738128409,1.000000000000,1.000000000000,0.049738128409,0.100658365242
58,24000000000.000000,0.317806946351,1.654286456459,6318908804.051183,0.101001255149,0.053005855750,1.000000000000,1.000000000000,0.053005855750,0.101001255149
59,24000000000.000000,0.317889977756,1.659548640611,6339008866.910643,0.101054037958,0.056352892381,1.000000000000,1.000000000000,0.056352892381,0.101054037958
60,24000000000.000000,0.318186789220,1.665235423904,6360730779.024751,0.101242832834,0.060009252086,1.000000000000,1.000000000000,0.060009252086,0.101242832834
61,24000000000.000000,0.875567894262,1.671339084136,6384045043.749554,0.766619137463,0.175767536539,1.000000000000,1.000000000000,0.175767536539,0.766619137463
62,24000000000.000000,0.865486199569,1.682350072494,6426103921.162052,0.749066361645,0.192696214229,1.000000000000,1.000000000000,0.192696214229,0.749066361645
63,24000000000.000000,0.972025262527,1.689718008244,6454247362.643560,0.944833110990,0.230645214088,1.000000000000,1.000000000000,0.230645214088,0.944833110990
64,24000000000.000000,0.972737461311,1.754055898254,6700000000.000001,0.946218168638,0.354534644856,1.000000000000,1.000000000000,0.354534644856,0.946218168638
