freq_hz,h_db,phase_rad
5664000000.000000,0.157249059,-77.062489357454
5665000000.000000,0.154871337,-77.074399445672
5666000000.000000,0.148106782,-77.096580686126
5667000000.000000,0.152717768,-77.110802387572
5668000000.000000,0.147454576,-77.125583670256
5669000000.000000,0.153861618,-77.138991122995
5670000000.000000,0.154392462,-77.159125870174
5671000000.000000,0.151851663,-77.167959586321
5672000000.000000,0.150194859,-77.185503540474
5673000000.000000,0.150392177,-77.201097414759
5674000000.000000,0.147852636,-77.211234999854
5675000000.000000,0.160286414,-77.226523277168
5676000000.000000,0.149634536,-77.243815564169
5677000000.000000,0.146664681,-77.259274286640
5678000000.000000,0.147528088,-77.267807226898
5679000000.000000,0.147800285,-77.280469095512
5680000000.000000,0.134539184,-77.290252264012
5681000000.000000,0.147247529,-77.308808472217
5682000000.000000,0.137585183,-77.316423850060
5683000000.000000,0.131551161,-77.333486740212
5684000000.000000,0.133227314,-77.341228800763
5685000000.000000,0.136130333,-77.353964115164
5686000000.000000,0.132074036,-77.357880433371
5687000000.000000,0.124051484,-77.371046625797
5688000000.000000,0.133322695,-77.386450605593
5689000000.000000,0.121987692,-77.395999182053
5690000000.000000,0.138213561,-77.406755922312
5691000000.000000,0.127780173,-77.421831262490
5692000000.000000,0.125618489,-77.426281717911
5693000000.000000,0.122561309,-77.435587691988
5694000000.000000,0.123835894,-77.447361180064
5695000000.000000,0.124218372,-77.455325496552
5696000000.000000,0.126553546,-77.460784568110
5697000000.000000,0.113675192,-77.474613757162
5698000000.000000,0.120805193,-77.478659830782
5699000000.000000,0.128327600,-77.484775165630
5700000000.000000,0.111896917,-77.500345113844
5701000000.000000,0.107291415,-77.502578557939
5702000000.000000,0.110377786,-77.510963665289
5703000000.000000,0.118280607,-77.518692993581
5704000000.000000,0.108073062,-77.529657415084
5705000000.000000,0.110849065,-77.536853537023
5706000000.000000,0.113126063,-77.540739887946
5707000000.000000,0.100400720,-77.550336853490
5708000000.000000,0.095265550,-77.558177030287
5709000000.000000,0.100080762,-77.559535294669
5710000000.000000,0.100830502,-77.569141774031
5711000000.000000,0.092050814,-77.573532885153
5712000000.000000,0.083403561,-77.574446969026
5713000000.000000,0.101349838,-77.581227413970
5714000000.000000,0.093300770,-77.590985114534
5715000000.000000,0.084740830,-77.596293401163
5716000000.000000,0.092375853,-77.596748058286
5717000000.000000,0.085438045,-77.608158289043
5718000000.000000,0.093059347,-77.612878237123
5719000000.000000,0.088107730,-77.616967319166
5720000000.000000,0.077803476,-77.624836464670
5721000000.000000,0.092288190,-77.632618783225
5722000000.000000,0.092734615,-77.635772923232
5723000000.000000,0.092805935,-77.635969723495
5724000000.000000,0.081482874,-77.641387431484
5725000000.000000,0.074751608,-77.646256944917
5726000000.000000,0.070378318,-77.656355597504
5727000000.000000,0.072855554,-77.661057309677
5728000000.000000,0.070665643,-77.666393590496
5729000000.000000,0.075356209,-77.668605795717
5730000000.000000,0.077406719,-77.675694338685
5731000000.000000,0.071700108,-77.681735369590
5732000000.000000,0.078611600,-77.680897236432
5733000000.000000,0.065570013,-77.696882115438
5734000000.000000,0.065290166,-77.698210958077
5735000000.000000,0.060904002,-77.700085629795
5736000000.000000,0.069019649,-77.705849209471
5737000000.000000,0.069075470,-77.709621196133
5738000000.000000,0.048404354,-77.716492396159
5739000000.000000,0.065404031,-77.721648392779
5740000000.000000,0.058407886,-77.730887556367
5741000000.000000,0.059317919,-77.735445815718
5742000000.000000,0.054701344,-77.740189386812
5743000000.000000,0.049953604,-77.747424986570
5744000000.000000,0.050888379,-77.753517932286
5745000000.000000,0.052079675,-77.756276232236
5746000000.000000,0.060582022,-77.761156979798
5747000000.000000,0.045116854,-77.769786816428
5748000000.000000,0.046074873,-77.772989832208
5749000000.000000,0.048160129,-77.780765258033
5750000000.000000,0.043822957,-77.794527497642
5751000000.000000,0.041478164,-77.797299047184
5752000000.000000,0.053936203,-77.804778774280
5753000000.000000,0.048153576,-77.810119609727
