tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
14,5802246093.750000,4.449403363518e-02,4.453275678314e-02,4.454697866828e-02,4.454576118408e-02,0.007556040,0.010329504,0.010092113,7.687277240630,4.619040454582,1.166241448650,1.166241448650,-3.068236786048,-3.452799005932,-3.452799005932,-6.521035791980,-6.521035791980
15,5820190429.687500,4.449403363518e-02,4.448226234477e-02,4.460685707996e-02,4.460549782852e-02,-0.002298233,0.021996918,0.021732240,7.218316827308,3.776752187266,0.138389442899,0.138389442899,-3.441564640042,-3.638362744367,-3.638362744367,-7.079927384408,-7.079927384408
16,5838134765.625000,4.449403363518e-02,4.439258913128e-02,4.461620412186e-02,4.461471116709e-02,-0.019826069,0.023816793,0.023526139,8.640315577189,4.801887617140,0.977961134339,0.977961134339,-3.838427960049,-3.823926482801,-3.823926482801,-7.662354442851,-7.662354442851
17,5856079101.562500,4.449403363518e-02,4.430464891591e-02,4.461498820350e-02,4.461338421528e-02,-0.037049587,0.023580074,0.023267795,7.458273295933,3.246999733534,-0.762490487701,-0.762490487701,-4.211273562399,-4.009490221236,-4.009490221236,-8.220763783634,-8.220763783634
18,5874023437.500000,4.449403363518e-02,4.418546163840e-02,4.456967607722e-02,4.456799810012e-02,-0.060447641,0.014753979,0.014426963,10.458840681541,5.934229387369,1.739175427698,1.739175427698,-4.524611294173,-4.195053959670,-4.195053959670,-8.719665253843,-8.719665253843
19,5891967773.437500,4.449403363518e-02,4.407436163681e-02,4.452001841745e-02,4.451831203705e-02,-0.082314960,0.005071131,0.004738208,12.157275766047,7.408824241084,3.028206542980,3.028206542980,-4.748451524962,-4.380617698105,-4.380617698105,-9.129069223067,-9.129069223067
20,5909912109.375000,4.449403363518e-02,4.397602182608e-02,4.447113419484e-02,4.446945118564e-02,-0.101716785,-0.004471458,-0.004800182,10.629949338817,5.742968488742,1.176787052203,1.176787052203,-4.886980850075,-4.566181436539,-4.566181436539,-9.453162286614,-9.453162286614
21,5928222656.250000,4.449403363517e-02,4.385240205355e-02,4.438558146562e-02,4.438397978079e-02,-0.126167831,-0.021197302,-0.021510745,9.580146590979,4.617406051321,-0.138126138723,-0.138126138723,-4.962740539658,-4.755532190044,-4.755532190044,-9.718272729702,-9.718272729702
22,5946166992.187500,4.449403363517e-02,4.382689353624e-02,4.438690328769e-02,4.438543226402e-02,-0.131221799,-0.020938637,-0.021226500,9.005972773165,3.983115376217,-0.957980552261,-0.957980552261,-5.022857396947,-4.941095928479,-4.941095928479,-9.963953325426,-9.963953325426
23,5964111328.125000,4.449403363518e-02,4.379229571103e-02,4.436751079305e-02,4.436622013333e-02,-0.138081322,-0.024734303,-0.024986981,8.806421265984,3.697630126949,-1.429029539964,-1.429029539964,-5.108791139035,-5.126659666913,-5.126659666913,-10.235450805948,-10.235450805948
24,5982055664.062500,4.449403363518e-02,4.382806957101e-02,4.440762552299e-02,4.440655478760e-02,-0.130988728,-0.016884534,-0.017093967,11.771660686837,6.505831350267,1.193607944919,1.193607944919,-5.265829336570,-5.312223405348,-5.312223405348,-10.578052741917,-10.578052741917
25,6000000000.000000,4.449403363518e-02,4.388789166495e-02,4.445983948587e-02,4.445901919993e-02,-0.119141211,-0.006677767,-0.006838024,12.967399614754,7.458040802505,1.960253658723,1.960253658723,-5.509358812249,-5.497787143782,-5.497787143782,-11.007145956031,-11.007145956031
