tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
41,8.345499476377056525e-02,684,8.349609375000000000e-02,4.109898622943475299e-05,0
42,-4.320894013758391772e-02,-354,-4.321289062500000000e-02,-3.950487416082282266e-06,0
43,-5.340198297022655249e-02,-437,-5.334472656250000000e-02,5.725640772655249400e-05,0
44,1.747798478104776732e-01,1432,1.748046875000000000e-01,2.483968952232684657e-05,0
45,-1.938303500921298994e-01,-1588,-1.938476562500000000e-01,-1.730615787010059137e-05,0
46,1.027360300447423547e-01,842,1.027832031250000000e-01,4.717308025764532786e-05,0
47,-4.902825052234648096e-02,-402,-4.907226562500000000e-02,-4.401510265351904483e-05,0
48,5.437032951377115952e-02,445,5.432128906250000000e-02,-4.904045127115952418e-05,0
49,5.246997684871657769e-02,430,5.249023437500000000e-02,2.025752628342231132e-05,0
50,-2.750859683106989251e-01,-2254,-2.751464843750000000e-01,-6.051606430107492329e-05,0
51,3.353844374386692473e-01,2747,3.353271484375000000e-01,-5.728900116924728891e-05,0
52,-1.435754516338727804e-01,-1176,-1.435546875000000000e-01,2.076413387278042144e-05,0
53,8.627784811519913222e-03,71,8.666992187500000000e-03,3.920737598008677827e-05,0
54,-6.590558882121534678e-02,-540,-6.591796875000000000e-02,-1.237992878465321578e-05,0
55,-3.477642592211895034e-02,-285,-3.479003906250000000e-02,-1.361314038104965984e-05,0
56,4.180449686623517458e-01,3425,4.180908203125000000e-01,4.585165014825420826e-05,0
57,-5.735394646299732946e-01,-4698,-5.734863281250000000e-01,5.313650497329458489e-05,0
58,3.120515822226206382e-01,2556,3.120117187500000000e-01,-3.986347262063816288e-05,0
59,-2.828528101832533670e-01,-2317,-2.828369140625000000e-01,1.589612075336699348e-05,0
60,6.027489005932864519e-01,4938,6.027832031250000000e-01,3.430253171354813446e-05,0
61,-3.592630975721052278e-01,-2943,-3.592529296875000000e-01,1.016788460522777271e-05,0
62,-1.271873335383614523e-01,-1042,-1.271972656250000000e-01,-9.932086638547721336e-06,0
63,-3.471329564789746858e-01,-2844,-3.471679687500000000e-01,-3.501227102531423441e-05,0
