freq_hz,h1_phase_rad,h2_fixed_phase_rad,pre_l1_09_phase_rad,phase_unwrapped_rad,omega_rad,group_delay_s,group_delay_ns
5639000000.000000,-111.585998767378,-1.764658773460,-113.350657540838,-113.350657540838,35430881947.185684204102,5.370737444740606e-09,5.370737445
5640000000.000000,-111.613754568141,-1.774999849278,-113.388754417419,-113.388754417419,35437165132.492866516113,5.808727581578762e-09,5.808727582
5641000000.000000,-111.638311239330,-1.785340925096,-113.423652164426,-113.423652164426,35443448317.800048828125,5.630313581484467e-09,5.630313581
5642000000.000000,-111.663825023645,-1.795682000914,-113.459507024559,-113.459507024559,35449731503.107223510742,5.653526405852429e-09,5.653526406
5643000000.000000,-111.688673395788,-1.806023076732,-113.494696472520,-113.494696472520,35456014688.414405822754,5.560270964563512e-09,5.560270965
5644000000.000000,-111.713015297665,-1.816364152551,-113.529379450216,-113.529379450216,35462297873.721588134766,5.605551078568993e-09,5.605551079
5645000000.000000,-111.738432676502,-1.826705228369,-113.565137904871,-113.565137904871,35468581059.028762817383,5.823648868940852e-09,5.823648869
5646000000.000000,-111.765515276044,-1.837046304187,-113.602561580231,-113.602561580231,35474864244.335945129395,5.679583009709490e-09,5.679583010
5647000000.000000,-111.789122269901,-1.847387380005,-113.636509649906,-113.636509649906,35481147429.643119812012,5.739337614519519e-09,5.739337615
5648000000.000000,-111.816955767953,-1.857728455823,-113.674684223776,-113.674684223776,35487430614.950302124023,5.640272351426317e-09,5.640272351
5649000000.000000,-111.839317870999,-1.868069531641,-113.707387402640,-113.707387402640,35493713800.257484436035,5.362777198934110e-09,5.362777199
5650000000.000000,-111.863664262121,-1.878410607459,-113.742074869580,-113.742074869580,35499996985.564659118652,5.817358946224403e-09,5.817358946
5651000000.000000,-111.891738807878,-1.888751683277,-113.780490491155,-113.780490491155,35506280170.871841430664,5.650653894993899e-09,5.650653895
5652000000.000000,-111.913990321543,-1.899092759095,-113.813083080638,-113.813083080638,35512563356.179023742676,5.481195373651499e-09,5.481195374
5653000000.000000,-111.939935388717,-1.909433834913,-113.849369223630,-113.849369223630,35518846541.486198425293,5.690315839110990e-09,5.690315839
5654000000.000000,-111.964814787654,-1.919774910731,-113.884589698385,-113.884589698385,35525129726.793380737305,5.604189415159063e-09,5.604189415
5655000000.000000,-111.989677558265,-1.930115986549,-113.919793544814,-113.919793544814,35531412912.100563049316,5.926931098856989e-09,5.926931099
5656000000.000000,-112.018612648812,-1.940457062367,-113.959069711179,-113.959069711179,35537696097.407737731934,5.890508681355948e-09,5.890508681
5657000000.000000,-112.043017721826,-1.950798138185,-113.993815860011,-113.993815860011,35543979282.714920043945,5.454347093794372e-09,5.454347094
5658000000.000000,-112.066471844216,-1.961139214003,-114.027611058219,-114.027611058219,35550262468.022102355957,5.541987660656202e-09,5.541987661
5659000000.000000,-112.091978241074,-1.971480289821,-114.063458530895,-114.063458530895,35556545653.329277038574,5.858861489322435e-09,5.858861489
5660000000.000000,-112.119414317432,-1.981821365640,-114.101235683072,-114.101235683072,35562828838.636459350586,5.935966543577084e-09,5.935966544
5661000000.000000,-112.145889644978,-1.992162441458,-114.138052086436,-114.138052086436,35569112023.943634033203,5.735265122425192e-09,5.735265122
5662000000.000000,-112.170803632896,-2.002503517276,-114.173307150172,-114.173307150172,35575395209.250816345215,5.623373063755720e-09,5.623373064
5663000000.000000,-112.195872883364,-2.012844593094,-114.208717476458,-114.208717476458,35581678394.557998657227,5.841124585578128e-09,5.841124586
5664000000.000000,-112.223523217607,-2.023185668912,-114.246708886519,-114.246708886519,35587961579.865173339844,5.634485355310041e-09,5.634485355
5665000000.000000,-112.245995762924,-2.033526744730,-114.279522507654,-114.279522507654,35594244765.172355651855,5.689539254974773e-09,5.689539255
5666000000.000000,-112.274337924874,-2.043867820548,-114.318205745422,-114.318205745422,35600527950.479537963867,5.519201570480792e-09,5.519201570
5667000000.000000,-112.294669943718,-2.054208896366,-114.348878840084,-114.348878840084,35606811135.786712646484,5.554989438734783e-09,5.554989439
5668000000.000000,-112.323461829284,-2.064549972184,-114.388011801468,-114.388011801468,35613094321.093894958496,5.955940250833850e-09,5.955940251
5669000000.000000,-112.348832344631,-2.074891048002,-114.423723392633,-114.423723392633,35619377506.401077270508,5.739653207714881e-09,5.739653208
5670000000.000000,-112.374906287054,-2.085232123820,-114.460138410874,-114.460138410874,35625660691.708251953125,5.889846597505543e-09,5.889846598
5671000000.000000,-112.402164188201,-2.095573199638,-114.497737387839,-114.497737387839,35631943877.015434265137,5.628303210327879e-09,5.628303210
5672000000.000000,-112.424951479489,-2.105914275456,-114.530865754945,-114.530865754945,35638227062.322616577148,5.520802092513001e-09,5.520802093
5673000000.000000,-112.450858481748,-2.116255351274,-114.567113833022,-114.567113833022,35644510247.629791259766,5.604398477278147e-09,5.604398477
5674000000.000000,-112.474696276189,-2.126596427092,-114.601292703281,-114.601292703281,35650793432.936973571777,5.415161004582687e-09,5.415161005
5675000000.000000,-112.498225250231,-2.136937502911,-114.635162753142,-114.635162753142,35657076618.244148254395,6.139419855073604e-09,6.139419855
5676000000.000000,-112.531164349808,-2.147278578729,-114.678442928537,-114.678442928537,35663359803.551330566406,5.872427960914252e-09,5.872427961
5677000000.000000,-112.551338204758,-2.157619654547,-114.708957859305,-114.708957859305,35669642988.858512878418,5.199608381861750e-09,5.199608382
5678000000.000000,-112.575822404148,-2.167960730365,-114.743783134513,-114.743783134513,35675926174.165687561035,5.478352985415708e-09,5.478352985
5679000000.000000,-112.599499067093,-2.178301806183,-114.777800873276,-114.777800873276,35682209359.472869873047,5.670145191926886e-09,5.670145192
5680000000.000000,-112.626393398431,-2.188642882001,-114.815036280432,-114.815036280432,35688492544.780052185059,5.813054237514958e-09,5.813054238
5681000000.000000,-112.651865909407,-2.198983957819,-114.850849867226,-114.850849867226,35694775730.087226867676,5.927283498298675e-09,5.927283498
5682000000.000000,-112.680195687971,-2.209325033637,-114.889520721608,-114.889520721608,35701058915.394409179688,5.578282149094093e-09,5.578282149
5683000000.000000,-112.701282518648,-2.219666109455,-114.920948628103,-114.920948628103,35707342100.701591491699,5.092281488093859e-09,5.092281488
5684000000.000000,-112.723505032787,-2.230007185273,-114.953512218060,-114.953512218060,35713625286.008766174316,5.660805624794181e-09,5.660805625
5685000000.000000,-112.751736148469,-2.240348261091,-114.992084409560,-114.992084409560,35719908471.315948486328,6.009298277952254e-09,6.009298278
5686000000.000000,-112.778337950444,-2.250689336909,-115.029027287353,-115.029027287353,35726191656.623130798340,5.242879360704508e-09,5.242879361
5687000000.000000,-112.796937961966,-2.261030412727,-115.057968374693,-115.057968374693,35732474841.930305480957,4.871452933439562e-09,4.871452933
5688000000.000000,-112.818872281800,-2.271371488545,-115.090243770345,-115.090243770345,35738758027.237487792969,5.702705610811310e-09,5.702705611
5689000000.000000,-112.847918122540,-2.281712564363,-115.129630686903,-115.129630686903,35745041212.544662475586,6.114440492724683e-09,6.114440493
5690000000.000000,-112.875026455494,-2.292053640182,-115.167080095676,-115.167080095676,35751324397.851844787598,5.599712612451631e-09,5.599712612
5691000000.000000,-112.897604034925,-2.302394716000,-115.199998750925,-115.199998750925,35757607583.159027099609,5.441299257391265e-09,5.441299257
5692000000.000000,-112.922721686950,-2.312735791818,-115.235457478768,-115.235457478768,35763890768.466201782227,5.730011868243843e-09,5.730011868
5693000000.000000,-112.948927336050,-2.323076867636,-115.272004203686,-115.272004203686,35770173953.773384094238,5.392379947200918e-09,5.392379947
5694000000.000000,-112.969802180224,-2.333417943454,-115.303220123678,-115.303220123678,35776457139.080566406250,5.241132246945775e-09,5.241132247
5695000000.000000,-112.994107194668,-2.343759019272,-115.337866213940,-115.337866213940,35782740324.387741088867,5.352802030617361e-09,5.352802031
5696000000.000000,-113.016385322730,-2.354100095090,-115.370485417820,-115.370485417820,35789023509.694923400879,5.420986219928381e-09,5.420986220
5697000000.000000,-113.041547164967,-2.364441170908,-115.405988335875,-115.405988335875,35795306695.002105712891,5.731499095030132e-09,5.731499095
5698000000.000000,-113.067727312898,-2.374782246726,-115.442509559624,-115.442509559624,35801589880.309280395508,5.088772094383710e-09,5.088772094
5699000000.000000,-113.084812409441,-2.385123322544,-115.469935731985,-115.469935731985,35807873065.616462707520,5.359397757616734e-09,5.359397758
5700000000.000000,-113.114393339754,-2.395464398362,-115.509857738116,-115.509857738116,35814156250.923645019531,5.855537934789992e-09,5.855537935
5701000000.000000,-113.137713117640,-2.405805474180,-115.543518591820,-115.543518591820,35820439436.230819702148,5.095097129942969e-09,5.095097130
5702000000.000000,-113.157738066969,-2.416146549998,-115.573884616967,-115.573884616967,35826722621.538002014160,5.120983072190661e-09,5.120983072
5703000000.000000,-113.181383137199,-2.426487625816,-115.607870763015,-115.607870763015,35833005806.845176696777,5.411017147170734e-09,5.411017147
5704000000.000000,-113.205052762205,-2.436828701634,-115.641881463839,-115.641881463839,35839288992.152359008789,5.306661475012792e-09,5.306661475
