freq_hz,stage,equalized_real,equalized_imag,residual_real,residual_imag,residual_abs_percent
5685000000.000000,after_h1,1.034996647139e+00,3.621001977825e-02,3.499664713947e-02,3.621001977825e-02,5.035802660
5686000000.000000,after_h1,1.036505272674e+00,2.900860181736e-02,3.650527267372e-02,2.900860181736e-02,4.662760891
5687000000.000000,after_h1,1.035987096401e+00,3.004133966646e-02,3.598709640076e-02,3.004133966646e-02,4.687806733
5688000000.000000,after_h1,1.038961276046e+00,2.771088956272e-02,3.896127604636e-02,2.771088956272e-02,4.781081919
5689000000.000000,after_h1,1.036396252160e+00,1.785847662027e-02,3.639625216030e-02,1.785847662027e-02,4.054148935
5690000000.000000,after_h1,1.036709709274e+00,1.008888952818e-02,3.670970927400e-02,1.008888952818e-02,3.807083460
5691000000.000000,after_h1,1.037082618464e+00,7.014737365026e-03,3.708261846393e-02,7.014737365026e-03,3.774025878
5692000000.000000,after_h1,1.038842263258e+00,1.305006858496e-03,3.884226325771e-02,1.305006858496e-03,3.886417962
5693000000.000000,after_h1,1.038207075154e+00,-5.543438462307e-03,3.820707515350e-02,-5.543438462307e-03,3.860712760
5694000000.000000,after_h1,1.037321797519e+00,-6.850753487723e-03,3.732179751922e-02,-6.850753487723e-03,3.794534745
5695000000.000000,after_h1,1.037946482917e+00,-1.172839675381e-02,3.794648291744e-02,-1.172839675381e-02,3.971763911
5696000000.000000,after_h1,1.036855024250e+00,-1.448291341120e-02,3.685502425037e-02,-1.448291341120e-02,3.959858070
5697000000.000000,after_h1,1.040811507822e+00,-2.031817867404e-02,4.081150782181e-02,-2.031817867404e-02,4.558955533
5698000000.000000,after_h1,1.038824052323e+00,-2.710812782409e-02,3.882405232319e-02,-2.710812782409e-02,4.735142694
5699000000.000000,after_h1,1.037528456847e+00,-2.445298780605e-02,3.752845684726e-02,-2.445298780605e-02,4.479211634
5700000000.000000,after_h1,1.038589280696e+00,-3.484216694138e-02,3.858928069634e-02,-3.484216694138e-02,5.199143374
5701000000.000000,after_h1,1.037237352787e+00,-3.864950542157e-02,3.723735278695e-02,-3.864950542157e-02,5.366940201
5702000000.000000,after_h1,1.038508809901e+00,-3.912836033986e-02,3.850880990065e-02,-3.912836033986e-02,5.489951751
5703000000.000000,after_h1,1.038084894426e+00,-4.330768500854e-02,3.808489442603e-02,-4.330768500854e-02,5.767161142
5704000000.000000,after_h1,1.039141831106e+00,-4.757833085442e-02,3.914183110610e-02,-4.757833085442e-02,6.160990593
5705000000.000000,after_h1,1.037264213588e+00,-5.032378373195e-02,3.726421358794e-02,-5.032378373195e-02,6.261872582
5706000000.000000,after_h1,1.037187844096e+00,-5.502098632061e-02,3.718784409639e-02,-5.502098632061e-02,6.640967312
5707000000.000000,after_h1,1.040394221702e+00,-5.604976663738e-02,4.039422170210e-02,-5.604976663738e-02,6.908885212
5708000000.000000,after_h1,1.039051503847e+00,-6.206136250474e-02,3.905150384728e-02,-6.206136250474e-02,7.332552536
5709000000.000000,after_h1,1.038628306024e+00,-6.071363501609e-02,3.862830602407e-02,-6.071363501609e-02,7.196034674
5710000000.000000,after_h1,1.038527495405e+00,-6.962123024714e-02,3.852749540544e-02,-6.962123024714e-02,7.957062023
5711000000.000000,after_h1,1.040471075040e+00,-7.041329365189e-02,4.047107504012e-02,-7.041329365189e-02,8.121539163
