section,fs_hz,total_bits,frac_bits,r_float,theta_rad_float,b0,b1,b2,a0,a1,a2,b0_int,b1_int,b2_int,a0_int,a1_int,a2_int
46,24000000000.000000,18,15,0.315039915538,1.548011418771,0.099243164062,-0.014343261719,1.000000000000,1.000000000000,-0.014343261719,0.099243164062,3252,-470,32768,32768,-470,3252
47,24000000000.000000,18,15,0.315105118546,1.549943817740,0.099304199219,-0.013153076172,1.000000000000,1.000000000000,-0.013153076172,0.099304199219,3254,-431,32768,32768,-431,3254
48,24000000000.000000,18,15,0.315591726758,1.551881887649,0.099609375000,-0.011932373047,1.000000000000,1.000000000000,-0.011932373047,0.099609375000,3264,-391,32768,32768,-391,3264
49,24000000000.000000,18,15,0.980000000000,1.553817827622,0.960388183594,-0.033264160156,1.000000000000,1.000000000000,-0.033264160156,0.960388183594,31470,-1090,32768,32768,-1090,31470
50,24000000000.000000,18,15,0.980000000000,1.605667352713,0.960388183594,0.068328857422,1.000000000000,1.000000000000,0.068328857422,0.960388183594,31470,2239,32768,32768,2239,31470
51,24000000000.000000,18,15,0.315761713112,1.609400616273,0.099700927734,0.024383544922,1.000000000000,1.000000000000,0.024383544922,0.099700927734,3267,799,32768,32768,799,3267
52,24000000000.000000,18,15,0.313949552180,1.613038668498,0.098571777344,0.026519775391,1.000000000000,1.000000000000,0.026519775391,0.098571777344,3230,869,32768,32768,869,3230
53,24000000000.000000,18,15,0.312452064075,1.616924283006,0.097625732422,0.028808593750,1.000000000000,1.000000000000,0.028808593750,0.097625732422,3199,944,32768,32768,944,3199
54,24000000000.000000,18,15,0.308869745104,1.620935968849,0.095397949219,0.030975341797,1.000000000000,1.000000000000,0.030975341797,0.095397949219,3126,1015,32768,32768,1015,3126
55,24000000000.000000,18,15,0.307649450215,1.625006346072,0.094635009766,0.033325195312,1.000000000000,1.000000000000,0.033325195312,0.094635009766,3101,1092,32768,32768,1092,3101
56,24000000000.000000,18,15,0.307439434983,1.629418824010,0.094512939453,0.036010742188,1.000000000000,1.000000000000,0.036010742188,0.094512939453,3097,1180,32768,32768,1180,3097
57,24000000000.000000,18,15,0.308061983471,1.633785708726,0.094909667969,0.038787841797,1.000000000000,1.000000000000,0.038787841797,0.094909667969,3110,1271,32768,32768,1271,3110
58,24000000000.000000,18,15,0.312818837826,1.638465588267,0.097869873047,0.042297363281,1.000000000000,1.000000000000,0.042297363281,0.097869873047,3207,1386,32768,32768,1386,3207
59,24000000000.000000,18,15,0.315313707583,1.643225679217,0.099426269531,0.045623779297,1.000000000000,1.000000000000,0.045623779297,0.099426269531,3258,1495,32768,32768,1495,3258
60,24000000000.000000,18,15,0.317520666440,1.648085942508,0.100830078125,0.049041748047,1.000000000000,1.000000000000,0.049041748047,0.100830078125,3304,1607,32768,32768,1607,3304
61,24000000000.000000,18,15,0.318230270159,1.652911137331,0.101257324219,0.052215576172,1.000000000000,1.000000000000,0.052215576172,0.101257324219,3318,1711,32768,32768,1711,3318
62,24000000000.000000,18,15,0.318724257702,1.657512672245,0.101593017578,0.055206298828,1.000000000000,1.000000000000,0.055206298828,0.101593017578,3329,1809,32768,32768,1809,3329
63,24000000000.000000,18,15,0.980000000000,1.666597058495,0.960388183594,0.187469482422,1.000000000000,1.000000000000,0.187469482422,0.960388183594,31470,6143,32768,32768,6143,31470
64,24000000000.000000,18,15,0.956117339660,1.754055898254,0.914154052734,0.348480224609,1.000000000000,1.000000000000,0.348480224609,0.914154052734,29955,11419,32768,32768,11419,29955
