freq_hz,float_abs,fixed_abs,fixed_abs_error_db,float_phase_rad,fixed_phase_rad,phase_error_rad,original_group_delay_ns,float_allpass_group_delay_ns,fixed_allpass_group_delay_ns,float_compensated_group_delay_ns,fixed_compensated_group_delay_ns
5536000000.000000,1.000000000000e+00,1.000000000000e+00,4.050175359524e-14,-4.126485752395,-4.127321778174,-8.360257792468e-04,3.006369228,10.695505160,10.693990853,13.701874388,13.700360081
5537000000.000000,1.000000000000e+00,1.000000000000e+00,5.785964799320e-14,-4.193639392367,-4.194465883145,-8.264907783389e-04,2.793125560,10.679709435,10.678189458,13.472834995,13.471315018
5538000000.000000,1.000000000000e+00,1.000000000000e+00,-7.521754239116e-14,-4.260690939205,-4.261507864392,-8.169251868946e-04,2.537070239,10.663028027,10.661503967,13.200098266,13.198574206
5539000000.000000,1.000000000000e+00,1.000000000000e+00,-4.628771839456e-14,-4.327634954423,-4.328442293303,-8.073388802226e-04,2.389305576,10.645501608,10.643975020,13.034807184,13.033280596
5540000000.000000,1.000000000000e+00,1.000000000000e+00,-2.603684159694e-14,-4.394466257786,-4.395263999299,-7.977415129963e-04,2.842389132,10.627171637,10.625644037,13.469560769,13.468033169
5541000000.000000,1.000000000000e+00,1.000000000000e+00,7.714619732426e-14,-4.461179931794,-4.461968074289,-7.881424954759e-04,2.758528068,10.608080212,10.606553077,13.366608280,13.365081145
5542000000.000000,1.000000000000e+00,1.000000000000e+00,6.364561279252e-14,-4.527771325231,-4.528549876203,-7.785509717309e-04,2.525279153,10.588269924,10.586744687,13.113549077,13.112023840
5543000000.000000,1.000000000000e+00,1.000000000000e+00,9.643274665533e-15,-4.594236055830,-4.595005031630,-7.689757999287e-04,2.980611643,10.567783721,10.566261767,13.548395364,13.546873410
5544000000.000000,1.000000000000e+00,1.000000000000e+00,7.136023252494e-14,-4.660570012047,-4.661329437581,-7.594255346657e-04,2.727318280,10.546664764,10.545147430,13.273983044,13.272465710
5545000000.000000,1.000000000000e+00,1.000000000000e+00,3.085847892971e-14,-4.726769354003,-4.727519262415,-7.499084114091e-04,3.047061797,10.524956300,10.523444869,13.572018097,13.570506666
5546000000.000000,1.000000000000e+00,1.000000000000e+00,-1.755075989127e-13,-4.792830513608,-4.793570945941,-7.404323330134e-04,3.006027783,10.502701532,10.501197235,13.508729315,13.507225018
5547000000.000000,1.000000000000e+00,1.000000000000e+00,-7.039590505839e-14,-4.858750193906,-4.859481198764,-7.310048582756e-04,2.792276309,10.479943503,10.478447515,13.272219812,13.270723824
5548000000.000000,1.000000000000e+00,1.000000000000e+00,-1.475421023827e-13,-4.924525367690,-4.925247000883,-7.216331925042e-04,2.971947282,10.456724980,10.455238419,13.428672262,13.427185701
5549000000.000000,1.000000000000e+00,1.000000000000e+00,9.257543678912e-14,-4.990153275421,-4.990865599601,-7.123241800606e-04,2.848706998,10.433088345,10.431612271,13.281795343,13.280319269
5550000000.000000,1.000000000000e+00,1.000000000000e+00,0.000000000000e+00,-5.055631422491,-5.056334506790,-7.030842987588e-04,2.792626525,10.409075499,10.407610913,13.201702024,13.200237438
5551000000.000000,1.000000000000e+00,1.000000000000e+00,2.314385919728e-14,-5.120957575891,-5.121651495547,-6.939196561015e-04,3.023600187,10.384727764,10.383275610,13.408327951,13.406875797
5552000000.000000,1.000000000000e+00,1.000000000000e+00,-6.364561279252e-14,-5.186129760307,-5.186814596294,-6.848359872240e-04,2.976406573,10.360085805,10.358646965,13.336492378,13.335053538
5553000000.000000,1.000000000000e+00,1.000000000000e+00,-7.425321492460e-14,-5.251146253717,-5.251822092371,-6.758386544989e-04,2.602567247,10.335189546,10.333764843,12.937756793,12.936332090
5554000000.000000,1.000000000000e+00,1.000000000000e+00,-7.328888745805e-14,-5.316005582510,-5.316672515158,-6.669326486097e-04,3.346035091,10.310078101,10.308668301,13.656113192,13.654703392
5555000000.000000,1.000000000000e+00,1.000000000000e+00,6.364561279252e-14,-5.380706516194,-5.381364638785,-6.581225911200e-04,3.541039204,10.284789712,10.283395522,13.825828916,13.824434726
5556000000.000000,1.000000000000e+00,1.000000000000e+00,-7.425321492460e-14,-5.445248061727,-5.445897474465,-6.494127383032e-04,2.838062963,10.259361695,10.257983763,13.097424658,13.096046726
5557000000.000000,1.000000000000e+00,1.000000000000e+00,1.542923946485e-14,-5.509629457522,-5.510270264508,-6.408069862109e-04,2.762427054,10.233830386,10.232469304,12.996257440,12.994896358
5558000000.000000,1.000000000000e+00,1.000000000000e+00,-4.243040852834e-14,-5.573850167165,-5.574482476042,-6.323088768241e-04,3.327131911,10.208231104,10.206887408,13.535363015,13.534019319
5559000000.000000,1.000000000000e+00,1.000000000000e+00,-2.025087679762e-14,-5.637909872896,-5.638533794501,-6.239216051949e-04,3.096452229,10.182598114,10.181272286,13.279050343,13.277724515
5560000000.000000,1.000000000000e+00,1.000000000000e+00,3.857309866213e-14,-5.701808468887,-5.702424116914,-6.156480274511e-04,3.492318191,10.156964598,10.155657066,13.649282789,13.647975257
5561000000.000000,1.000000000000e+00,1.000000000000e+00,-7.714619732426e-15,-5.765546054355,-5.766153545025,-6.074906695854e-04,3.541284675,10.131362633,10.130073773,13.672647308,13.671358448
