subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
4438,23826,4362670898.437500,2.473616251184e+02,1.766868750846e+02,2.118647146242e+02,2.264926581565e+02,2.092348289817e+02,2.238297436612e+02,2.091219642689e+02,2.237264309430e+02
4439,23827,4362854003.906250,-1.766868750846e+02,-2.473616251184e+02,-1.270108919296e+02,-2.828827450465e+02,-1.253832456627e+02,-2.795053039582e+02,-1.253099353013e+02,-2.793709468827e+02
4440,23828,4363037109.375000,-3.533737501691e+01,-3.533737501691e+01,-2.824704319517e+01,-4.242956637852e+01,-2.789111631693e+01,-4.192502731591e+01,-2.787558838197e+01,-4.190521683837e+01
4441,23829,4363220214.843750,1.060121250507e+02,3.533737501691e+01,9.892601809364e+01,5.662258734790e+01,9.770736807865e+01,5.596803517983e+01,9.765647838624e+01,5.594392449017e+01
4442,23830,4363403320.312500,1.766868750846e+02,3.533737501691e+01,1.696120290453e+02,7.082726069318e+01,1.675274316044e+02,7.002193523627e+01,1.674411459512e+02,6.999351283122e+01
4443,23831,4363586425.781250,-1.060121250507e+02,3.533737501691e+01,-1.131307474757e+02,1.404357969264e+01,-1.117578924903e+02,1.383557638534e+01,-1.117026575206e+02,1.382433160458e+01
4444,23832,4363769531.250000,1.766868750846e+02,-1.060121250507e+02,1.980354478685e+02,-7.052145024904e+01,1.956429957574e+02,-6.959648079385e+01,1.955480210394e+02,-6.955413582833e+01
4445,23833,4363952636.718750,1.766868750846e+02,-3.533737501691e+01,1.838413250199e+02,1.820426859937e-01,1.815949331181e+02,2.399622112382e-01,1.815042212257e+02,2.468947209422e-01
4446,23834,4364135742.187500,-1.766868750846e+02,-2.473616251184e+02,-1.269382284471e+02,-2.830533456053e+02,-1.252919012762e+02,-2.796302907224e+02,-1.252184351213e+02,-2.794954293756e+02
4447,23835,4364318847.656250,3.533737501691e+01,-2.473616251184e+02,8.528505994942e+01,-2.403772592822e+02,8.431802201749e+01,-2.374021103355e+02,8.428509214274e+01,-2.372801613794e+02
4448,23836,4364501953.125000,2.473616251184e+02,-3.533737501691e+01,2.547008117842e+02,1.466542841945e+01,2.515678902921e+02,1.456863438693e+01,2.514415192224e+02,1.457111864170e+01
